"id_paper","keywords"
1,"NLP"
1,"AI"
1,"data modeling"
4,"data management"
4,"data modeling"
4,"data processing"
5,"data management"
5,"data quality"
5,"data storage"
6,"data management"
6,"data processing"
6,"AI"
7,"data management"
7,"data modeling"
7,"data storage"
8,"data management"
8,"data processing"
8,"data querying"
9,"data management"
9,"data processing"
9,"data storage"
10,"data modeling"
10,"data processing"
10,"data management"
11,"data modeling"
11,"data management"
11,"data processing"
12,"data management"
12,"data storage"
12,"data processing"
13,"data modeling"
13,"data management"
13,"data storage"
14,"data management"
14,"data storage"
14,"data processing"
15,"data management"
15,"data processing"
15,"AI"
16,"data management"
16,"data storage"
16,"data processing"
17,"data management"
17,"data querying"
17,"data modeling"
18,"property graph"
18,"biology"
18,"data storage"
19,"property graph"
19,"data modeling"
19,"data management"
20,"property graph"
20,"data quality"
20,"data processing"
21,"property graph"
21,"data quality"
21,"AI"
22,"mathematical methods"
22,"data quality"
22,"data processing"
23,"mathematical methods"
23,"indexing"
23,"data processing"
24,"biology"
24,"graph processing"
24,"data processing"
25,"mathematical methods"
25,"property graph"
25,"data storage"
26,"NLP"
26,"mathematical methods"
26,"property graph"
27,"mathematical methods"
27,"NLP"
27,"AI"
28,"NLP"
28,"AI"
28,"data processing"
29,"NLP"
29,"data processing"
29,"data querying"
30,"NLP"
30,"data processing"
30,"indexing"
31,"NLP"
31,"graph processing"
31,"data processing"
32,"data management"
32,"data storage"
32,"data modeling"
33,"data querying"
33,"data processing"
33,"property graph"
34,"data management"
34,"data querying"
34,"data processing"
35,"NLP"
35,"AI"
35,"property graph"
36,"data management"
36,"data quality"
36,"data processing"
37,"NLP"
37,"data modeling"
37,"data processing"
38,"mathematical methods"
38,"data quality"
38,"biology"
39,"data management"
39,"data storage"
39,"property graph"
40,"NLP"
40,"AI"
40,"data modeling"
41,"NLP"
41,"data querying"
41,"data processing"
42,"data processing"
42,"data management"
42,"data querying"
43,"data querying"
43,"indexing"
43,"data modeling"
44,"AI"
44,"data management"
44,"big data"
45,"data management"
45,"data processing"
45,"AI"
46,"mathematical methods"
46,"AI"
46,"property graph"
47,"NLP"
47,"property graph"
47,"data querying"
48,"mathematical methods"
48,"data processing"
48,"graph processing"
49,"mathematical methods"
49,"graph processing"
49,"data modeling"
50,"data management"
50,"data processing"
50,"AI"
51,"mathematical methods"
51,"data quality"
51,"data storage"
52,"data processing"
52,"data management"
52,"AI"
53,"data quality"
53,"data management"
53,"data querying"
54,"property graph"
54,"data quality"
54,"data processing"
55,"data processing"
55,"mathematical methods"
55,"data storage"
56,"biology"
56,"NLP"
56,"data processing"
57,"NLP"
57,"data quality"
57,"data processing"
58,"NLP"
58,"data querying"
58,"indexing"
59,"mathematical methods"
59,"data modeling"
59,"data management"
60,"property graph"
60,"data processing"
60,"mathematical methods"
61,"data management"
61,"data querying"
61,"data processing"
62,"data processing"
62,"big data"
62,"AI"
63,"NLP"
63,"data management"
63,"data modeling"
64,"NLP"
64,"mathematical methods"
64,"data processing"
65,"biology"
65,"NLP"
65,"indexing"
66,"NLP"
66,"indexing"
66,"AI"
67,"property graph"
67,"graph processing"
67,"data management"
68,"data processing"
68,"data quality"
68,"mathematical methods"
69,"data processing"
69,"data quality"
69,"data modeling"
70,"AI"
70,"data processing"
70,"property graph"
71,"biology"
71,"mathematical methods"
71,"data processing"
72,"AI"
72,"data management"
72,"data processing"
73,"AI"
73,"NLP"
73,"property graph"
74,"data processing"
74,"indexing"
74,"data quality"
75,"mathematical methods"
75,"NLP"
75,"graph processing"
76,"NLP"
76,"indexing"
76,"data processing"
77,"mathematical methods"
77,"property graph"
77,"AI"
78,"mathematical methods"
78,"data quality"
78,"data processing"
79,"data quality"
79,"mathematical methods"
79,"data modeling"
80,"data storage"
80,"AI"
80,"big data"
81,"NLP"
81,"mathematical methods"
81,"indexing"
82,"data storage"
82,"data management"
82,"data quality"
83,"NLP"
83,"AI"
83,"indexing"
84,"data processing"
84,"data modeling"
84,"mathematical methods"
85,"property graph"
85,"mathematical methods"
85,"data quality"
86,"NLP"
86,"mathematical methods"
86,"data modeling"
87,"data management"
87,"AI"
87,"data processing"
88,"NLP"
88,"data querying"
88,"data processing"
89,"data quality"
89,"NLP"
89,"property graph"
90,"NLP"
90,"AI"
90,"graph processing"
91,"NLP"
91,"data modeling"
91,"data management"
92,"data quality"
92,"data storage"
92,"data processing"
93,"biology"
93,"AI"
93,"NLP"
94,"NLP"
94,"AI"
94,"biology"
95,"data management"
95,"big data"
95,"data quality"
96,"biology"
96,"data modeling"
96,"data processing"
97,"data processing"
97,"NLP"
97,"data querying"
98,"graph processing"
98,"data processing"
98,"data modeling"
99,"NLP"
99,"data processing"
99,"AI"
100,"data querying"
100,"NLP"
100,"data modeling"
101,"mathematical methods"
101,"data processing"
101,"data modeling"
102,"NLP"
102,"AI"
102,"data modeling"
103,"data modeling"
103,"data processing"
103,"NLP"
104,"mathematical methods"
104,"NLP"
104,"AI"
105,"data processing"
105,"data management"
105,"data querying"
106,"NLP"
106,"AI"
106,"data processing"
107,"NLP"
107,"indexing"
107,"AI"
108,"AI"
108,"data processing"
108,"NLP"
109,"property graph"
109,"data management"
109,"data processing"
110,"NLP"
110,"property graph"
110,"AI"
111,"data modeling"
111,"NLP"
111,"data management"
112,"data quality"
112,"mathematical methods"
112,"data modeling"
113,"data processing"
113,"AI"
113,"data modeling"
114,"NLP"
114,"mathematical methods"
114,"biology"
115,"NLP"
115,"data processing"
115,"data quality"
116,"indexing"
116,"NLP"
116,"data querying"
117,"mathematical methods"
117,"data processing"
117,"data modeling"
118,"NLP"
118,"AI"
118,"property graph"
119,"NLP"
119,"mathematical methods"
119,"data processing"
120,"NLP"
120,"AI"
120,"data processing"
121,"data quality"
121,"NLP"
121,"AI"
122,"NLP"
122,"AI"
122,"biology"
123,"data querying"
123,"data processing"
123,"NLP"
124,"data storage"
124,"data management"
124,"big data"
125,"data storage"
125,"data processing"
125,"data management"
126,"data querying"
126,"data management"
126,"indexing"
127,"NLP"
127,"property graph"
127,"data processing"
128,"indexing"
128,"property graph"
128,"graph processing"
129,"data processing"
129,"NLP"
129,"data querying"
130,"data management"
130,"indexing"
130,"data storage"
131,"property graph"
131,"indexing"
131,"data querying"
132,"NLP"
132,"AI"
132,"data processing"
133,"NLP"
133,"data quality"
133,"data processing"
134,"data management"
134,"big data"
134,"NLP"
135,"mathematical methods"
135,"NLP"
135,"AI"
136,"NLP"
136,"mathematical methods"
136,"data processing"
137,"NLP"
137,"AI"
137,"data processing"
138,"data storage"
138,"indexing"
138,"data management"
139,"NLP"
139,"AI"
139,"data quality"
140,"AI"
140,"data management"
140,"data processing"
141,"data processing"
141,"data modeling"
141,"graph processing"
142,"data quality"
142,"indexing"
142,"big data"
143,"NLP"
143,"AI"
143,"data management"
144,"NLP"
144,"mathematical methods"
144,"data modeling"
145,"AI"
145,"mathematical methods"
145,"data processing"
146,"indexing"
146,"NLP"
146,"AI"
147,"biology"
147,"graph processing"
147,"data processing"
148,"data modeling"
148,"mathematical methods"
148,"data processing"
149,"data modeling"
149,"data processing"
149,"property graph"
150,"data processing"
150,"data management"
150,"data querying"
151,"NLP"
151,"data modeling"
151,"data processing"
152,"NLP"
152,"AI"
152,"data modeling"
153,"property graph"
153,"data modeling"
153,"NLP"
154,"NLP"
154,"data quality"
154,"AI"
155,"AI"
155,"data modeling"
155,"data processing"
156,"data management"
156,"data storage"
156,"data processing"
157,"NLP"
157,"data modeling"
157,"AI"
158,"NLP"
158,"data processing"
158,"data management"
159,"data management"
159,"data modeling"
159,"data processing"
160,"mathematical methods"
160,"AI"
160,"data storage"
161,"mathematical methods"
161,"indexing"
161,"data modeling"
162,"AI"
162,"biology"
162,"mathematical methods"
163,"NLP"
163,"mathematical methods"
163,"biology"
164,"data processing"
164,"data querying"
164,"data management"
165,"NLP"
165,"indexing"
165,"AI"
166,"NLP"
166,"AI"
166,"biology"
