"id_paper","author","main_author"
1,"Daniel Genkin",TRUE
1,"Daniel Gruss",FALSE
1,"Michael Schwarz 0001",FALSE
1,"Mike Hamburg",FALSE
1,"Moritz Lipp",FALSE
1,"Paul Kocher",FALSE
1,"Stefan Mangard",FALSE
1,"Thomas Prescher 0002",FALSE
1,"Werner Haas 0004",FALSE
1,"Yuval Yarom",FALSE
4,"Frank Manola",TRUE
5,"Michael L. Brodie",TRUE
5,"Michael Stonebraker",FALSE
6,"Farshad Nayeri",TRUE
6,"Joe D. Morrison",FALSE
6,"Mark F. Hornick",FALSE
7,"Frank Manola",TRUE
8,"Frank Manola",TRUE
9,"Alejandro P. Buchmann",TRUE
9,"Dimitrios Georgakopoulos",FALSE
9,"M. Tamer Özsu",FALSE
10,"Frank Manola",TRUE
10,"Sandra Heiler",FALSE
11,"Frank Manola",TRUE
12,"Frank Manola",TRUE
13,"Alejandro P. Buchmann",TRUE
13,"Frank Manola",FALSE
13,"Mark F. Hornick",FALSE
14,"Frank Manola",TRUE
15,"Benjamin Hurwitz",TRUE
15,"Farshad Nayeri",FALSE
16,"Michael Stonebraker",TRUE
17,"Cetin Ozbutun",TRUE
17,"David Beech",FALSE
18,"Jim Melton",TRUE
18,"Jonathan Bauer",FALSE
18,"Krishna G. Kulkarni",FALSE
18,"Mike Kelley",FALSE
19,"Phil Shaw",TRUE
20,"Jim Melton",TRUE
20,"Jonathan Bauer",FALSE
20,"Krishna G. Kulkarni",FALSE
21,"David Beech",TRUE
22,"Rolf Sander",TRUE
23,"Thomas Ludwig 0001",TRUE
24,"Claus-Rainer Rollinger",TRUE
24,"Werner Emde",FALSE
25,"Christoph Beierle",TRUE
25,"Hans Uszkoreit",FALSE
25,"Udo Pletat",FALSE
26,"Ido Dagan",TRUE
26,"Ulrike Rackow",FALSE
26,"Ulrike Schwall",FALSE
27,"Brigitte Bartsch-Spörl",TRUE
28,"Burkhard Kehrbusch",TRUE
28,"Erich Gehlen",FALSE
29,"Gert Smolka",TRUE
29,"Markus Höhfeld",FALSE
30,"Birgit Wesche",TRUE
31,"Christopher Habel",TRUE
32,"Albert Maier",TRUE
32,"Bernd Walter",FALSE
32,"Erich Gehlen",FALSE
32,"Michael Ley",FALSE
32,"Thomas Ludwig 0001",FALSE
33,"Erich Gehlen",TRUE
33,"Stefan Benzschawel",FALSE
33,"Thomas Ludwig 0001",FALSE
35,"Egon Börger",TRUE
36,"Michael Ley",TRUE
37,"Roland Seiffert",TRUE
38,"Gisela Schöpke",TRUE
39,"Stefan Böttcher",TRUE
40,"Ulrike Schwall",TRUE
