"volume","year"
" meltdownattack.com",2018
"TR-0263-08-94-165 GTE Laboratories Incorporated",1994
"TR-0222-10-92-165 GTE Laboratories Incorporated",1993
"TR-0174-12-91-165 GTE Laboratories Incorporated",1991
"TM-0149-06-89-165 GTE Laboratories Incorporated",1989
"TR-0310-11-95-165 GTE Laboratories Incorporated",1995
"TR-0146-06-91-165 GTE Laboratories Incorporated",1991
"TR-0231-08-93-165 GTE Laboratories Incorporated",1993
"TR-0244-12-93-165 GTE Laboratories Incorporated",1993
"TR-0169-12-91-165 GTE Laboratories Incorporated",1991
"TM-0332-11-90-165 GTE Laboratories Incorporated",1990
"TM-0014-06-88-165 GTE Laboratories Incorporated",1988
"TR-0236-09-93-165 GTE Laboratories Incorporated",1993
"UCB/ERL M79/28 University of California at Berkeley",1979
"X3H2-90-412 ANSI X3H2",1990
"DBL:KAW-006 X3H2-91-133rev1 ANSI X2H2",1991
"X3H2-90-292 ANSI X3H2",1990
"DBL:ARL-029 X3H2-91-083rev1 ANSI X3H2",1991
"X3H2-92-062 ANSI X3H2",1992
"191 IWBS Report",1991
"59 LILOG-Report",1988
"15 LILOG-Report",1987
"40 LILOG-Report",1988
"225 IWBS Report",1992
"2 LILOG-Memo",1987
"61 LILOG-Report",1988
"53 LILOG-Report",1988
"9 LILOG-Memo",1988
"45 LILOG-Report",1988
"56 LILOG-Report",1988
"201 IWBS Report",1991
"G320-6590 IBM Publication",1981
"111 IWBS Report",1990
"60 LILOG-Report",1988
"228 IWBS Report",1992
"188 IWBS Report",1991
"87 IWBS Report",1989
"177 IWBS Report",1991
"3 LILOG-Report",1986
"154 IWBS Report",1991
"150 IWBS Report",1991
"165 IWBS Report",1991
"163 IWBS Report",1991
"34 LILOG-Report",1988
"68 IWBS Report",1989
"166 IWBS Report",1991
"5 LILOG-Report",1986
"126 IWBS Report",1990
"208 IWBS Report",1992
"89 IWBS Report",1989
"212 IWBS Report",1992
"37 LILOG-Report",1987
"237 IWBS Report",1992
"180 IWBS Report",1991
"8 LILOG-Memo",1988
"220 IWBS Report",1992
