"author","Affiliation"
"Daniel Genkin","Radical Designs"
"Daniel Gruss","UserTesting"
"Michael Schwarz 0001","University of the Faroe Islands"
"Mike Hamburg","Kabam"
"Moritz Lipp","Windsor University School of Medicine"
"Paul Kocher","Aktana"
"Stefan Mangard","Indiegogo"
"Thomas Prescher 0002","AMD"
"Werner Haas 0004","BloomThat"
"Yuval Yarom","Linguistic University of Nizhny Novgorod"
"Frank Manola","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Michael L. Brodie","Indeed"
"Michael Stonebraker","Vietnam Maritime University"
"Farshad Nayeri","Academy of Management and Entrepreneurship"
"Joe D. Morrison","Kabam"
"Mark F. Hornick","Tempo Automation"
"Alejandro P. Buchmann","Preston University, Pakistan Campus"
"Dimitrios Georgakopoulos","Universitas Negeri Surabaya"
"M. Tamer Özsu","Firat (Euphrates) University"
"Sandra Heiler","Bayside Solutions"
"Benjamin Hurwitz","Highland Capital Partners"
"Cetin Ozbutun","Huaihai Institute of Technology"
"David Beech","Triplebyte"
"Jim Melton","Highland Capital Partners"
"Jonathan Bauer","Jobspring Partners"
"Krishna G. Kulkarni","Firat (Euphrates) University"
"Mike Kelley","UserTesting"
"Phil Shaw","Academy of Management and Entrepreneurship"
"Rolf Sander","Triplebyte"
"Thomas Ludwig 0001","University of Engineering and Technology Lahore"
"Claus-Rainer Rollinger","Kentik"
"Werner Emde","Swiftly"
"Christoph Beierle","Universidad Privada Abierta Latinoamericana"
"Hans Uszkoreit","Preston University, Pakistan Campus"
"Udo Pletat","College of St. Elizabeth"
"Ido Dagan","Universidad Autónoma de Veracruz Villa Rica"
"Ulrike Rackow","UserTesting"
"Ulrike Schwall","Intelliswift"
"Brigitte Bartsch-Spörl","Kagawa Medical School"
"Burkhard Kehrbusch","Postmates"
"Erich Gehlen","Clover Health"
"Gert Smolka","Awadhesh Pratap Singh University"
"Markus Höhfeld","University of Debrecen "
"Birgit Wesche","Zero Financial"
"Christopher Habel","Awadhesh Pratap Singh University"
"Albert Maier","Linguistic University of Nizhny Novgorod"
"Bernd Walter","Naytev"
"Michael Ley","Kosin University"
"Stefan Benzschawel","Kosin University"
"Egon Börger","UserTesting"
"Roland Seiffert","St. Petersburg State University of Technology and Design"
"Gisela Schöpke","RGA Associates"
"Stefan Böttcher","Awadhesh Pratap Singh University"
"Rudi Studer","Flipboard"
"Toni Bollinger","Woebot Labs"
"Carola Eschenbach","Triplebyte"
"Manfred Schmidt-Schauß","Gustav-Siewerth-Akademie"
"Hans-Joachim Goltz","Liaoning Technical University"
"Otthein Herzog","Skillz"
"Bernhard Beckert","Credit Karma"
"Stefan J. Schierholz","Tempo Automation"
"Birgit Wendholt","Awadhesh Pratap Singh University"
"Gudrun Klose","Intelliswift"
"Klaus Rehkämper","Preston University, Pakistan Campus"
"Michael Herweg","Awadhesh Pratap Singh University"
"Mohammed Nadjib Khenkhar","AMD"
"Simone Pribbenow","Always Hired"
"Anja Theuner","National Hsin-Chu Teachers College"
"Peter H. Schmitt","Huaihai Institute of Technology"
"Claudia Maienborn","Sri Padmavati Women's University"
"Angelika Storrer","Okayama University of Science"
"Brigitte Bläser","Awadhesh Pratap Singh University"
"Esther König","Stitch Labs"
"Claudia Mrotzek","Skillz"
"Stefan Börner","The Sourcery"
"Lutz Voelkel","Oracle"
"Kai-Uwe Carstensen","Fachhochschule Erfurt"
"Martin Hübner","Always Hired"
"Ulrike Weiland","Gemini"
"Michael Czymmeck","Quantcast"
"Michael Tarnowski","Firat (Euphrates) University"
"Helmar Gust","Codexis"
"Mechthild Rickheit","Aktana"
"Petra Ludewig","Université Senghor d'Alexandrie"
"Kai von Luck","University of California, Riverside"
"Elisabeth Neugebauer","West Pomeranian Business School in Szczecin"
"Eric Mays","Academy of Management and Entrepreneurship"
"Sitaram Lanka","Universidad Autónoma de Veracruz Villa Rica"
"Petra Maier","The Superior College "
"Bruce G. Lindsay 0001","National Hsin-Chu Teachers College"
"Michel E. Adiba","Odense University"
"Ewald Lang","Okayama University of Science"
"Thomas Pirlein","University of the Faroe Islands"
"Gerd Kortüm","Mozilla"
"Ipke Wachsmuth","Vietnam Maritime University"
"Ingrid Renz","Allbirds"
"Noam Paz","Dover"
"Kurt Eberle","Fachhochschule Erfurt"
"Gregor Erbach","Triplebyte"
"Christos Garidis","University of the Faroe Islands"
"Jennifer A. Brundage","Huaihai Institute of Technology"
"Maren Kresse","Kagawa Medical School"
"Eric Windisch","Sri Padmavati Women's University"
"Peter Gerstl","University of Debrecen "
"Dines Bjørner","Universitas Negeri Surabaya"
"E. F. Codd","Veterinärmedizinische Universität Wien"
"Irving L. Traiger","Windsor University School of Medicine"
"Kenneth L. Deckert","Avicenna International College"
"Sonja Müller","Naytev"
"Rolf Mayer","Beijing Union University"
"Rüdiger Wirth","Universidad Privada Abierta Latinoamericana"
"Holger M. Wittmann","Layer"
"Jan Wilms","Kosin University"
"Bernd Abb","Gemini"
"Kai Lebeth","National Hsin-Chu Teachers College"
"Jörg Heinrich","Flipboard"
"Andreas Eisele 0001","BloomThat"
"Jochen Dörre","Ahi Evran University"
"Rainer Bäuerle","National Hsin-Chu Teachers College"
"Sven Lorenz","Woebot Labs"
"Michael Klein","Odense University"
"Chin-Liang Chang","Woebot Labs"
"Jean-Marc Cadiou","Layer"
"Nick Roussopoulos","Academy of Management and Entrepreneurship"
"Robert S. Arnold","Clover Health"
"Tibor Kiss","Huaihai Institute of Technology"
"Wolfgang Wernecke","Windsor University School of Medicine"
"Ulrich Hedtstück","Liaoning Technical University"
"Petra Steffens","Swiftly"
"Manfred Grothaus","99designs"
"Karin Klabunde","University of Baltimore"
"Karl Dotzek","University of California, Riverside"
"H. Raymond Strong","Tokyo Denki University"
"Sai Choi Kwan","Stitch Labs"
"Nikolaus Ott","Universitas Negeri Surabaya"
"Christian Rohrer","General Assembly"
"F. Günthner","Indeed"
"Siegfried Kanngießer","Swiftly"
"Elisabeth Breidt","Jobspring Partners"
"Oliver Wauschkuhn","Technische Universität München"
"Angi Voß","Odense University"
"Ingo Raasch","University of Engineering and Technology Lahore"
"Bernd I. Dahn","Université Senghor d'Alexandrie"
"Theodor Lettmann","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"Wolfgang Schönfeld","Universidad Autónoma de Veracruz Villa Rica"
"Cesare A. Galtieri","University of Debrecen "
"Jim Gray 0001","Academy of Management and Entrepreneurship"
"Astrid Schmücker-Schend","City University Programs in Bulgaria "
"Christoph Lingenfelder","Stockholm School of Economics"
"Joachim Maier","Clover Health"
"Hinrich Schütze","Highland Capital Partners"
"Jörg H. Siekmann","Woebot Labs"
"Herbert J. Leass","Intelliswift"
"Walter G. Olthoff","Tokushima University"
"Reiner Hähnle","Bayside Solutions"
"Stefan Gerberding","Oracle"
"Werner Kernig","University of Engineering and Technology Lahore"
"Gregor Meyer","Beijing Union University"
"Andreas Arning","Dover"
"Raymond A. Lorie","Oracle"
"Bernhard Nebel","City University Programs in Bulgaria "
"Petra Schulz","Mozilla"
"Sebastian Millies","St. Petersburg State University of Technology and Design"
"Heiner Semle","Kosin University"
"Anne Schiller","Vietnam Maritime University"
"M. Wermke","Oracle"
"Karl-Hans Bläsius","BloomThat"
"Elke Busch","College of St. Elizabeth"
"Bernd Page","Firat (Euphrates) University"
"D. Eberle","Linguistic University of Nizhny Novgorod"
"D. Marx","Ivanovo State Power University"
"Jürgen Pietsch","Sri Padmavati Women's University"
"P. Klug-Lier","Kosin University"
"R. Zieschank","Veterinärmedizinische Universität Wien"
"Volker Jantzen","Ivanovo State Power University"
"Ralph Scheubrein","Preston University, Pakistan Campus"
"William C. Rounds","Indeed"
"Kurt Rothermel","National Hsin-Chu Teachers College"
"Bart Geurts","Sri Padmavati Women's University"
"Josef Gemander","Universidad Privada Abierta Latinoamericana"
"Wilfried Hötker","Tokushima University"
"Karel Oliva","Royal Danish School of Pharmacy"
"Uwe Reyle","Sri Padmavati Women's University"
"Jutta Kreiß","Woebot Labs"
"Jürgen Manowsky","Veterinärmedizinische Universität Wien"
"Karl Schlechta","TrustArc"
"Geoffrey Simmons","Bayside Solutions"
"Arne Pott","Linguistic University of Nizhny Novgorod"
"Rob A. van der Sandt","Braintree"
"Vera Watson","99designs"
"Adrian Müller","University of the Faroe Islands"
"Robert A. Weida","Highland Capital Partners"
"Robert Dionne","AMD"
"Peter Bosch","Beijing Union University"
"George Markowsky","Flipboard"
"Stefan Bayerl","Fachhochschule Dortmund"
"Günther Görz","University of Debrecen "
"Kjell Johan Sæbø","Highland Capital Partners"
"Jean-Yves Lerner","Swiftly"
"Ulrich Schatz","Fachhochschule Erfurt"
"Gosse Bouma","Awadhesh Pratap Singh University"
"Donald D. Chamberlin","Highland Capital Partners"
"Raymond F. Boyce","Flipboard"
"Bradford W. Wade","TrustArc"
"Karin Neuhold","Tempo Automation"
"Richard Rödler","Odense University"
"Gerd Hoff","Tokushima University"
"Martin Mundhenk","West Pomeranian Business School in Szczecin"
"Manfred Laumen","Beijing Union University"
"Christoph Meinel","Stitch Labs"
"Harald Sack","College of St. Elizabeth"
"Volker Schillings","Naytev"
"Carsten Damm","Huaihai Institute of Technology"
"Martin Gugat","Dover"
"Nguyen V. Thoai","Indeed"
"El-Sayed M. E. Mostafa","National Hsin-Chu Teachers College"
"Friedemann Leibfritz","Awadhesh Pratap Singh University"
"Belinda B. King","University of the Faroe Islands"
"A. Battermann","Universidad Privada Los Andes"
"Ekkehard W. Sachs","Clover Health"
"Eyal Arian","Radical Designs"
"John Westwater","Logikcull"
"Peter Gritzmann","Ivanovo State Power University"
"Victor Klee","City University Programs in Bulgaria "
"Dieter Baum","Betterworks"
"Florian Jarre","Gemini"
"Anna Slobodová","Tokushima University"
"Alexander Kaplan","Swiftly"
"M. Böhm","Indeed"
"Rainer Tichatschke","Oracle"
"Tim Voetmann","Indiegogo"
"Artur Czumaj","University of Medicine Magway"
"Krzysztof Lorys","Jobspring Partners"
"Miroslaw Kutylowski","Liaoning Technical University"
"Przemyslawa Kanarek","Heritage College"
"Klaus Jansen","99designs"
"Klaus Lux","Philo"
"Markus Wiegelmann","Firat (Euphrates) University"
"Christian Fecht","AMD"
"Helmut Seidl","Codexis"
"Jordan Gergov","Oracle"
"Harald Luschgy","Okayama University of Science"
