a.name,n.name
"""NIPS Mini-Symposium on Causality in Time Series""","""Database"""
"""MLSB""","""Database"""
"""ICML Unsupervised and Transfer Learning""","""Database"""
"""AISTATS""","""Database"""
"""Active Learning and Experimental Design @ AISTATS""","""Database"""
"""NIPS Causality: Objectives and Assessment""","""Database"""
"""Yahoo! Learning to Rank Challenge""","""Database"""
"""Advanced Database Systems""","""Database"""
"""WCCI Causation and Prediction Challenge""","""Database"""
"""KDD Cup""","""Database"""
"""Gaussian Processes in Practice""","""Database"""
"""IFIP Working Conference Data Base Management""","""Database"""
