"id_paper","id_volume","volume"
1," meltdownattack.com",""
4,"TR-0263-08-94-165 GTE Laboratories Incorporated","TR-0263-08-94-165"
5,"TR-0222-10-92-165 GTE Laboratories Incorporated","TR-0222-10-92-165"
6,"TR-0174-12-91-165 GTE Laboratories Incorporated","TR-0174-12-91-165"
7,"TM-0149-06-89-165 GTE Laboratories Incorporated","TM-0149-06-89-165"
8,"TR-0310-11-95-165 GTE Laboratories Incorporated","TR-0310-11-95-165"
9,"TR-0146-06-91-165 GTE Laboratories Incorporated","TR-0146-06-91-165"
10,"TR-0231-08-93-165 GTE Laboratories Incorporated","TR-0231-08-93-165"
11,"TR-0244-12-93-165 GTE Laboratories Incorporated","TR-0244-12-93-165"
12,"TR-0169-12-91-165 GTE Laboratories Incorporated","TR-0169-12-91-165"
13,"TM-0332-11-90-165 GTE Laboratories Incorporated","TM-0332-11-90-165"
14,"TM-0014-06-88-165 GTE Laboratories Incorporated","TM-0014-06-88-165"
15,"TR-0236-09-93-165 GTE Laboratories Incorporated","TR-0236-09-93-165"
16,"UCB/ERL M79/28 University of California at Berkeley","UCB/ERL M79/28"
17,"X3H2-90-412 ANSI X3H2","X3H2-90-412"
18,"DBL:KAW-006 X3H2-91-133rev1 ANSI X2H2","DBL:KAW-006 X3H2-91-133rev1"
19,"X3H2-90-292 ANSI X3H2","X3H2-90-292"
20,"DBL:ARL-029 X3H2-91-083rev1 ANSI X3H2","DBL:ARL-029 X3H2-91-083rev1"
21,"X3H2-92-062 ANSI X3H2","X3H2-92-062"
22,"191 IWBS Report","191"
23,"59 LILOG-Report","59"
24,"15 LILOG-Report","15"
25,"40 LILOG-Report","40"
26,"225 IWBS Report","225"
27,"2 LILOG-Memo","2"
28,"61 LILOG-Report","61"
29,"53 LILOG-Report","53"
30,"9 LILOG-Memo","9"
31,"45 LILOG-Report","45"
32,"56 LILOG-Report","56"
33,"201 IWBS Report","201"
34,"G320-6590 IBM Publication","G320-6590"
35,"111 IWBS Report","111"
36,"60 LILOG-Report","60"
37,"228 IWBS Report","228"
38,"188 IWBS Report","188"
39,"87 IWBS Report","87"
40,"177 IWBS Report","177"
41,"3 LILOG-Report","3"
42,"154 IWBS Report","154"
43,"150 IWBS Report","150"
44,"165 IWBS Report","165"
45,"163 IWBS Report","163"
46,"34 LILOG-Report","34"
47,"68 IWBS Report","68"
48,"166 IWBS Report","166"
49,"5 LILOG-Report","5"
50,"126 IWBS Report","126"
51,"208 IWBS Report","208"
52,"89 IWBS Report","89"
53,"212 IWBS Report","212"
54,"37 LILOG-Report","37"
55,"237 IWBS Report","237"
56,"180 IWBS Report","180"
57,"8 LILOG-Memo","8"
58,"220 IWBS Report","220"
59,"4 LILOG-Memo","4"
60,"26 LILOG-Report","26"
61,"38 LILOG-Report","38"
62,"157 IWBS Report","157"
63,"231 IWBS Report","231"
64,"146 IWBS Report","146"
65,"199 IWBS Report","199"
66,"241 IWBS Report","241"
67,"8 LILOG-Report","8"
68,"151 IWBS Report","151"
69,"27 LILOG-Report","27"
70,"132 IWBS Report","132"
71,"190 IWBS Report","190"
72,"114 IWBS Report","114"
73,"144 IWBS Report","144"
74,"83 IWBS Report","83"
75,"121 IWBS Report","121"
76,"29 LILOG-Report","29"
77,"130 IWBS Report","130"
78,"210 IWBS Report","210"
79,"19 LILOG-Report","19"
80,"135 IWBS Report","135"
81,"11 LILOG-Report","11"
82,"RJ2772 Research Report / RJ / IBM / San Jose, California","RJ2772"
83,"23 LILOG-Report","23"
84,"10 LILOG-Report","10"
85,"171 IWBS Report","171"
86,"162 IWBS Report","162"
87,"91 IWBS Report","91"
88,"7 LILOG-Report","7"
89,"205 IWBS Report","205"
90,"13 LILOG-Report","13"
91,"106 IWBS Report","106"
92,"134 IWBS Report","134"
93,"96 IWBS Report","96"
94,"192 IWBS Report","192"
95,"107 IWBS Report","107"
96,"112 IWBS Report","112"
97,"167 IWBS Report","167"
98,"50 LILOG-Report","50"
99,"232 IWBS Report","232"
100,"182 IWBS Report","182"
101,"189 IWBS Report","189"
102,"169 IWBS Report","169"
103,"156 IWBS Report","156"
104,"223 IWBS Report","223"
105,"RJ1200 Research Report / RJ / IBM / San Jose, California","RJ1200"
106,"221 IWBS Report","221"
107,"138 IWBS Report","138"
108,"217 IWBS Report","217"
109,"200 IWBS Report","200"
110,"178 IWBS Report","178"
111,"195 IWBS Report","195"
112,"84 IWBS Report","84"
113,"170 IWBS Report","170"
114,"35 LILOG-Report","35"
115,"5 LILOG-Memo","5"
116,"202 IWBS Report","202"
117,"224 IWBS Report","224"
118,"93 IWBS Report","93"
119,"3 LILOG-Memo","3"
120,"124 IWBS Report","124"
121,"43 LILOG-Report","43"
122,"234 IWBS Report","234"
123,"115 IWBS Report","115"
124,"102 IWBS Report","102"
125,"198 IWBS Report","198"
126,"RJ2144 Research Report / RJ / IBM / San Jose, California","RJ2144"
127,"194 IWBS Report","194"
128,"108 IWBS Report","108"
129,"6 LILOG-Memo","6"
130,"99 IWBS Report","99"
131,"153 IWBS Report","153"
132,"72 IWBS Report","72"
133,"70 IWBS Report","70"
134,"30 LILOG-Report","30"
135,"80 IWBS Report","80"
136,"92 IWBS Report","92"
137,"110 IWBS Report","110"
138,"RJ2736 Research Report / RJ / IBM / San Jose, California","RJ2736"
139,"213 IWBS Report","213"
140,"46 LILOG-Report","46"
141,"11 LILOG-Memo","11"
142,"233 IWBS Report","233"
143,"184 IWBS Report","184"
144,"1 LILOG-Report","1"
145,"6 LILOG-Report","6"
146,"214 IWBS Report","214"
147,"158 IWBS Report","158"
148,"215 IWBS Report","215"
149,"140 IWBS Report","140"
150,"88 IWBS Report","88"
151,"41 LILOG-Report","41"
152,"14 LILOG-Report","14"
153,"168 IWBS Report","168"
154,"119 IWBS Report","119"
155,"193 IWBS Report","193"
156,"RJ2555 Research Report / RJ / IBM / San Jose, California","RJ2555"
