"id_volume","journal"
" meltdownattack.com","meltdownattack.com"
"TR-0263-08-94-165 GTE Laboratories Incorporated","GTE Laboratories Incorporated"
"TR-0222-10-92-165 GTE Laboratories Incorporated","GTE Laboratories Incorporated"
"TR-0174-12-91-165 GTE Laboratories Incorporated","GTE Laboratories Incorporated"
"TM-0149-06-89-165 GTE Laboratories Incorporated","GTE Laboratories Incorporated"
"TR-0310-11-95-165 GTE Laboratories Incorporated","GTE Laboratories Incorporated"
"TR-0146-06-91-165 GTE Laboratories Incorporated","GTE Laboratories Incorporated"
"TR-0231-08-93-165 GTE Laboratories Incorporated","GTE Laboratories Incorporated"
"TR-0244-12-93-165 GTE Laboratories Incorporated","GTE Laboratories Incorporated"
"TR-0169-12-91-165 GTE Laboratories Incorporated","GTE Laboratories Incorporated"
"TM-0332-11-90-165 GTE Laboratories Incorporated","GTE Laboratories Incorporated"
"TM-0014-06-88-165 GTE Laboratories Incorporated","GTE Laboratories Incorporated"
"TR-0236-09-93-165 GTE Laboratories Incorporated","GTE Laboratories Incorporated"
"UCB/ERL M79/28 University of California at Berkeley","University of California at Berkeley"
"X3H2-90-412 ANSI X3H2","ANSI X3H2"
"DBL:KAW-006 X3H2-91-133rev1 ANSI X2H2","ANSI X2H2"
"X3H2-90-292 ANSI X3H2","ANSI X3H2"
"DBL:ARL-029 X3H2-91-083rev1 ANSI X3H2","ANSI X3H2"
"X3H2-92-062 ANSI X3H2","ANSI X3H2"
"191 IWBS Report","IWBS Report"
"59 LILOG-Report","LILOG-Report"
"15 LILOG-Report","LILOG-Report"
"40 LILOG-Report","LILOG-Report"
"225 IWBS Report","IWBS Report"
"2 LILOG-Memo","LILOG-Memo"
"61 LILOG-Report","LILOG-Report"
"53 LILOG-Report","LILOG-Report"
"9 LILOG-Memo","LILOG-Memo"
"45 LILOG-Report","LILOG-Report"
"56 LILOG-Report","LILOG-Report"
"201 IWBS Report","IWBS Report"
"G320-6590 IBM Publication","IBM Publication"
"111 IWBS Report","IWBS Report"
"60 LILOG-Report","LILOG-Report"
"228 IWBS Report","IWBS Report"
"188 IWBS Report","IWBS Report"
"87 IWBS Report","IWBS Report"
"177 IWBS Report","IWBS Report"
"3 LILOG-Report","LILOG-Report"
"154 IWBS Report","IWBS Report"
"150 IWBS Report","IWBS Report"
"165 IWBS Report","IWBS Report"
"163 IWBS Report","IWBS Report"
"34 LILOG-Report","LILOG-Report"
"68 IWBS Report","IWBS Report"
"166 IWBS Report","IWBS Report"
"5 LILOG-Report","LILOG-Report"
"126 IWBS Report","IWBS Report"
"208 IWBS Report","IWBS Report"
"89 IWBS Report","IWBS Report"
"212 IWBS Report","IWBS Report"
"37 LILOG-Report","LILOG-Report"
"237 IWBS Report","IWBS Report"
"180 IWBS Report","IWBS Report"
"8 LILOG-Memo","LILOG-Memo"
"220 IWBS Report","IWBS Report"
"4 LILOG-Memo","LILOG-Memo"
"26 LILOG-Report","LILOG-Report"
"38 LILOG-Report","LILOG-Report"
"157 IWBS Report","IWBS Report"
"231 IWBS Report","IWBS Report"
"146 IWBS Report","IWBS Report"
"199 IWBS Report","IWBS Report"
"241 IWBS Report","IWBS Report"
"8 LILOG-Report","LILOG-Report"
"151 IWBS Report","IWBS Report"
"27 LILOG-Report","LILOG-Report"
"132 IWBS Report","IWBS Report"
"190 IWBS Report","IWBS Report"
"114 IWBS Report","IWBS Report"
"144 IWBS Report","IWBS Report"
"83 IWBS Report","IWBS Report"
"121 IWBS Report","IWBS Report"
"29 LILOG-Report","LILOG-Report"
"130 IWBS Report","IWBS Report"
"210 IWBS Report","IWBS Report"
"19 LILOG-Report","LILOG-Report"
"135 IWBS Report","IWBS Report"
"11 LILOG-Report","LILOG-Report"
"RJ2772 Research Report / RJ / IBM / San Jose, California","Research Report / RJ / IBM / San Jose, California"
"23 LILOG-Report","LILOG-Report"
"10 LILOG-Report","LILOG-Report"
"171 IWBS Report","IWBS Report"
"162 IWBS Report","IWBS Report"
"91 IWBS Report","IWBS Report"
"7 LILOG-Report","LILOG-Report"
"205 IWBS Report","IWBS Report"
"13 LILOG-Report","LILOG-Report"
"106 IWBS Report","IWBS Report"
"134 IWBS Report","IWBS Report"
"96 IWBS Report","IWBS Report"
"192 IWBS Report","IWBS Report"
"107 IWBS Report","IWBS Report"
"112 IWBS Report","IWBS Report"
"167 IWBS Report","IWBS Report"
"50 LILOG-Report","LILOG-Report"
"232 IWBS Report","IWBS Report"
"182 IWBS Report","IWBS Report"
"189 IWBS Report","IWBS Report"
"169 IWBS Report","IWBS Report"
"156 IWBS Report","IWBS Report"
"223 IWBS Report","IWBS Report"
"RJ1200 Research Report / RJ / IBM / San Jose, California","Research Report / RJ / IBM / San Jose, California"
"221 IWBS Report","IWBS Report"
"138 IWBS Report","IWBS Report"
"217 IWBS Report","IWBS Report"
"200 IWBS Report","IWBS Report"
"178 IWBS Report","IWBS Report"
"195 IWBS Report","IWBS Report"
"84 IWBS Report","IWBS Report"
"170 IWBS Report","IWBS Report"
"35 LILOG-Report","LILOG-Report"
"5 LILOG-Memo","LILOG-Memo"
"202 IWBS Report","IWBS Report"
"224 IWBS Report","IWBS Report"
"93 IWBS Report","IWBS Report"
"3 LILOG-Memo","LILOG-Memo"
"124 IWBS Report","IWBS Report"
"43 LILOG-Report","LILOG-Report"
"234 IWBS Report","IWBS Report"
"115 IWBS Report","IWBS Report"
"102 IWBS Report","IWBS Report"
"198 IWBS Report","IWBS Report"
"RJ2144 Research Report / RJ / IBM / San Jose, California","Research Report / RJ / IBM / San Jose, California"
"194 IWBS Report","IWBS Report"
"108 IWBS Report","IWBS Report"
"6 LILOG-Memo","LILOG-Memo"
"99 IWBS Report","IWBS Report"
"153 IWBS Report","IWBS Report"
"72 IWBS Report","IWBS Report"
"70 IWBS Report","IWBS Report"
"30 LILOG-Report","LILOG-Report"
"80 IWBS Report","IWBS Report"
"92 IWBS Report","IWBS Report"
"110 IWBS Report","IWBS Report"
"RJ2736 Research Report / RJ / IBM / San Jose, California","Research Report / RJ / IBM / San Jose, California"
"213 IWBS Report","IWBS Report"
"46 LILOG-Report","LILOG-Report"
"11 LILOG-Memo","LILOG-Memo"
"233 IWBS Report","IWBS Report"
"184 IWBS Report","IWBS Report"
"1 LILOG-Report","LILOG-Report"
"6 LILOG-Report","LILOG-Report"
"214 IWBS Report","IWBS Report"
"158 IWBS Report","IWBS Report"
"215 IWBS Report","IWBS Report"
"140 IWBS Report","IWBS Report"
"88 IWBS Report","IWBS Report"
"41 LILOG-Report","LILOG-Report"
"14 LILOG-Report","LILOG-Report"
