"id_paper","paper_title","doi","abstract","pages"
1,"Meltdown","https://meltdownattack.com/meltdown.pdf","Lorem ipsum dolor sit amet, dolor vitae ipsum consequat. Class nisl mi aliquam ligula cras felis magna. At in at sapien sed in est enim, consequat, vulputate. Nam mollis nascetur sodales sed urna nulla ac. Metus id ligula sem. In, odio magna dolor nunc, leo consequat ipsum elementum. Elementum velit sodales risus at dolor, metus mauris. Nunc dolor iaculis consequat litora, lectus, gravida nam nunc cum eu semper. Vulputate sem commodo lobortis senectus pellentesque. Fermentum venenatis commodo in in suscipit tincidunt lacus eleifend. Arcu, aliquam morbi suscipit vivamus convallis nunc dictumst. Et hendrerit non! Mauris ac vehicula senectus viverra, ridiculus porttitor et in. Sed cras imperdiet metus.",NA
4,"An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.","","Lorem ipsum dolor sit amet, nec class tortor at viverra felis aliquet rhoncus neque libero sed nascetur feugiat, leo. Tempus posuere pulvinar. Aliquam praesent ut ante, sed malesuada et suspendisse. Id commodo ultrices orci elementum interdum mattis, tellus in vestibulum praesent. Congue felis, duis eget in libero, pellentesque primis. Egestas nulla class ullamcorper arcu venenatis aptent, natoque euismod. Dui aenean etiam tortor, lobortis ut sed vel quis interdum, amet duis et. Nullam finibus malesuada aliquam nunc risus quis ut. Nulla finibus himenaeos in eget tincidunt, et gravida augue. Integer, senectus varius eget quam a non tincidunt. Quis vulputate, pharetra sapien massa nec. Sed rhoncus id amet fames lorem. Vel tortor felis tortor pellentesque sed egestas tincidunt. Condimentum ut, et eros sed.",NA
5,"DARWIN: On the Incremental Migration of Legacy Information Systems","","Lorem ipsum dolor sit amet, dictum in eget, phasellus malesuada eu congue non sed maecenas, et ultricies. Accumsan in eros sed tempor torquent et risus nec. Etiam, ex taciti porttitor scelerisque eros. Ultrices porta turpis duis maximus vel nisl, facilisis non congue. Ut cras lacinia platea bibendum metus. Platea, suspendisse dolor et facilisis. Nisl sem molestie vitae semper nam donec. Scelerisque nam nulla integer dui justo, curae non pharetra. Venenatis in sed in cras commodo ante, fringilla. Porttitor tincidunt cras sed nec a quis ut. Vel mauris ligula purus purus, eu donec ligula ac integer pellentesque vel iaculis ipsum. Pretium magnis tincidunt neque ornare fermentum ante.",NA
6,"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.","","Lorem ipsum dolor sit amet, platea curae sed eu, metus blandit rhoncus eu, dictumst est. Vestibulum class, amet justo lorem ultricies tempor eget finibus nullam. Nisi nisi orci, aliquet et praesent dolor? Pretium faucibus nascetur tellus ac sem aenean inceptos. Justo cubilia nec. Accumsan, lorem, quisque accumsan malesuada sed maximus. Volutpat, quisque eu mauris. Sollicitudin, in justo euismod facilisis justo sed. Etiam massa nec, interdum aliquam nec facilisis. Nulla dictum? Vivamus pulvinar finibus, nascetur ac id maecenas, nulla at. Vestibulum amet adipiscing velit risus nec.",NA
7,"Object Model Capabilities For Distributed Object Management.","","Lorem ipsum dolor sit amet, arcu fringilla risus ac. Fusce fusce id aptent consequat curae vulputate turpis aliquam. Nunc vitae finibus erat purus arcu a, ridiculus, leo. Fringilla ad semper ridiculus in in. Amet phasellus viverra tortor morbi commodo cursus. Ultrices primis inceptos a vestibulum. Laoreet est orci a justo commodo velit eros efficitur sed volutpat aliquet. Vivamus nec vel, augue tempor ante lectus turpis donec quam ut. Senectus congue rutrum, ut aliquet, ipsum semper nullam. Mollis et suspendisse eu odio curae quis eu parturient. Fermentum velit mi pharetra, eros nec? Sed dictum. Sit netus maximus conubia, potenti at. Nulla nec pellentesque, vitae sed vivamus auctor sollicitudin metus. Lacus, porta a.",NA
8,"Integrating Object-Oriented Applications and Middleware with Relational Databases.","","Lorem ipsum dolor sit amet, lectus dis ex, magnis justo aptent pulvinar. Neque, fringilla amet quam. Mi tristique diam laoreet rutrum vestibulum tempus. Vestibulum condimentum in, faucibus justo nullam aliquam volutpat. Sit, curabitur, enim magna ac et nisl. Ligula at justo pellentesque id elit rhoncus sodales. Dapibus sed lectus ut tincidunt leo enim et faucibus. Eget sit ultricies dui interdum. Orci vestibulum vitae, nibh varius. Blandit vel hac a tristique aenean malesuada eu curae.",NA
9,"Towards a Transaction Management System for DOM.","","Lorem ipsum dolor sit amet, vel at molestie lorem in ad ante netus. Nisi sit leo sed quam semper ex fermentum habitasse nulla. Ullamcorper tempor nec, pharetra phasellus sed habitasse vestibulum hendrerit, quis netus est. Justo eu mauris orci eros turpis in egestas ut, fermentum iaculis. Dictum, litora sapien vel arcu, elementum efficitur at consequat. Pellentesque amet, gravida consequat tempus orci in. Pulvinar augue, non. Erat mauris ridiculus ridiculus neque. Nullam nulla aliquet adipiscing vel non. Vitae lacinia dui vestibulum, aenean litora senectus ut.",NA
10,"A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.","","Lorem ipsum dolor sit amet, aenean suspendisse curae finibus justo dapibus gravida eget conubia. Arcu habitasse lectus velit. A, parturient litora posuere at lectus rhoncus, hendrerit blandit magna ante elit, turpis vestibulum mollis vulputate. Ad proin ex in magnis, sed. Sed aliquam enim eu leo potenti dictum arcu facilisis. Penatibus nibh sed justo litora in etiam. Taciti sit penatibus lobortis ut dictum diam fermentum massa. Eget eros curabitur, sed lacinia euismod. Inceptos, ac sapien, adipiscing eu, ridiculus non vel dictum. Inceptos eget dapibus neque ornare ut.",NA
11,"MetaObject Protocol Concepts for a RISC Object Model.","","Lorem ipsum dolor sit amet, enim ut vivamus libero mollis dui molestie in sollicitudin amet, at. Ultricies ac efficitur rutrum ante primis ut. Ligula mauris, ante eget, nec vel quis. Et etiam, cum auctor nisl donec. Ante metus purus justo at congue, nostra mauris non cursus. Gravida euismod orci quam arcu fermentum nunc consectetur risus at. Dictum sed mollis, consectetur tortor, nulla. At lectus, placerat, fringilla, risus integer montes vitae lacus pulvinar dictumst amet diam. Venenatis vulputate. Metus sed nunc amet varius, dui. Eros sem nisl facilisis suscipit, sed nec. Tincidunt nec vitae imperdiet pretium quis class volutpat nisi, ligula himenaeos, in placerat.",NA
12,"Object Data Language Facilities for Multimedia Data Types.","","Lorem ipsum dolor sit amet, imperdiet sed nisl nulla risus fusce sed imperdiet ante. Placerat, pharetra nisl, eu. Lacus, mauris sed vestibulum amet per ipsum cursus ullamcorper. Senectus sollicitudin a felis ridiculus nunc vel sed nibh malesuada, sed volutpat faucibus. Ac leo sem et quisque tempor nam ac arcu, facilisis. Ac arcu tempor quisque elit, interdum sed. Netus non mus maximus erat. Vivamus ut varius aenean vitae velit lorem velit nisl arcu. Quis quam nec vitae ultrices vel nulla urna varius viverra. Urna, quam dolor rhoncus feugiat magnis velit, tempus. Varius, vulputate ligula id vestibulum volutpat imperdiet. Nunc sed aptent vitae sodales lobortis, ex lobortis pretium aptent litora. Commodo nascetur hendrerit diam in. Mus non diam cras lectus nisi posuere ac efficitur.",NA
